epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1446,0.82919,1.37702,3.54174,1.0468,0,0.31162,0.83014,0.3098,0.21186,0.31162,0.83014,0.31392,0.24467,1.21956,1.10524,45.9641,1.28107,0,0.000541775,0.000541775,0.000541775
2,18.7799,0.83118,0.80435,1.33767,1.00201,0,0.22146,0.95096,0.34689,0.18451,0.22224,0.95455,0.34201,0.25268,1.40779,4.54183,36.0711,1.77999,0,0.00108658,0.00108658,0.00108658
3,26.2316,0.86717,0.78474,1.36883,1.01628,0,0.24321,0.81459,0.3373,0.20742,0.25138,0.79187,0.39907,0.313,1.17676,1.22391,3.36373,1.19846,0,0.00162038,0.00162038,0.00162038
4,33.7486,0.82293,0.77811,1.16836,0.98385,0,0.01328,0.82656,0.01389,0.00882,0.01326,0.82656,0.0142,0.01169,1.21119,1.05712,64.9655,1.15693,0,0.00161749,0.00161749,0.00161749
5,41.2213,0.80887,0.77748,1.08829,0.97916,0,0.47913,0.89593,0.52475,0.42616,0.4889,0.91866,0.53364,0.48157,0.67097,0.62262,1.43693,0.88134,0,0.00160099,0.00160099,0.00160099
6,48.7324,0.75929,0.78136,1.05065,0.94536,0,0,0,0,0,0,0,0,0,3.43731,14.5442,8.17465,3.4948,0,0.00158448,0.00158448,0.00158448
7,56.2251,0.70641,0.71871,1.01574,0.95466,0,0,0,0,0,0,0,0,0,4.37977,11.5476,5.67484,3.6722,0,0.00156798,0.00156798,0.00156798
8,63.643,0.65356,0.65554,0.95546,0.91214,0,0,0,0,0,0,0,0,0,3.5939,12.3681,6.70751,2.97685,0,0.00155148,0.00155148,0.00155148
9,71.8028,0.66569,0.66085,0.9556,0.90769,0,0.40742,0.7189,0.46197,0.36805,0.42667,0.7189,0.47598,0.40241,0.79254,0.94969,1.6465,0.99378,0,0.00153497,0.00153497,0.00153497
10,79.8748,0.59113,0.61709,0.91669,0.87748,0,0.19278,0.46053,0.15043,0.10712,0.25488,0.5323,0.2491,0.16715,1.34201,0.74954,3.11875,1.26621,0,0.00151847,0.00151847,0.00151847
11,87.6863,0.58565,0.60986,0.89894,0.87402,0,0.39344,0.91833,0.49076,0.3816,0.40069,0.94106,0.49211,0.42624,0.64845,0.56856,1.08538,0.87877,0,0.00150197,0.00150197,0.00150197
12,95.038,0.598,0.61387,0.88929,0.88186,0,0.49077,1,0.51126,0.44337,0.49077,1,0.51126,0.4742,0.51137,0.55162,0.93014,0.8435,0,0.00148546,0.00148546,0.00148546
13,102.558,0.52823,0.58096,0.85963,0.8609,0,0.47578,0.9977,0.5011,0.43859,0.47578,0.9977,0.50938,0.46793,0.52634,0.61753,0.9461,0.8264,0,0.00146896,0.00146896,0.00146896
14,110.162,0.53554,0.59758,0.87717,0.85523,0,0.44866,0.94226,0.5461,0.43754,0.44866,0.94226,0.5461,0.47904,0.69662,0.72305,0.97364,0.93829,0,0.00145246,0.00145246,0.00145246
15,117.604,0.52176,0.56866,0.87417,0.86741,0,0.47947,0.97727,0.53264,0.47833,0.49926,0.90786,0.53276,0.4874,0.51391,0.5508,0.93992,0.82998,0,0.00143595,0.00143595,0.00143595
16,125.375,0.52693,0.57752,0.87599,0.87185,0,0.15179,0.16029,0.07296,0.05812,0.15293,0.16029,0.07094,0.05007,2.35797,4.34706,5.13747,2.10085,0,0.00141945,0.00141945,0.00141945
17,133.136,0.48392,0.55308,0.84364,0.84576,0,0.38834,0.5473,0.3384,0.29094,0.38834,0.5473,0.329,0.28271,0.96401,3.09918,1.95941,1.20828,0,0.00140295,0.00140295,0.00140295
18,141.081,0.47347,0.56282,0.84117,0.85478,0,0.49146,1,0.55013,0.48246,0.49146,1,0.55013,0.50072,0.45893,0.57734,0.88618,0.8183,0,0.00138644,0.00138644,0.00138644
19,149.494,0.50689,0.58307,0.83844,0.84869,0,0.48153,0.98684,0.54035,0.47971,0.48153,0.98684,0.54035,0.48662,0.50669,0.66127,0.88518,0.83019,0,0.00136994,0.00136994,0.00136994
20,157.533,0.46048,0.54794,0.83039,0.83949,0,0,0,0,0,0,0,0,0,4.0048,6.93046,7.83646,4.2557,0,0.00135344,0.00135344,0.00135344
21,165.619,0.45563,0.52583,0.83471,0.83314,0,0.50336,0.98646,0.54465,0.47408,0.50336,0.98646,0.54465,0.49894,0.49009,0.56486,0.89585,0.8101,0,0.00133693,0.00133693,0.00133693
22,172.922,0.45351,0.53413,0.81799,0.82258,0,0.48217,1,0.52561,0.44905,0.48217,1,0.52617,0.46449,0.56855,0.7549,0.96529,0.82404,0,0.00132043,0.00132043,0.00132043
23,180.308,0.45771,0.52721,0.80131,0.83413,0,0.48287,1,0.54358,0.48047,0.48287,1,0.54358,0.50862,0.49051,0.53617,0.91321,0.81916,0,0.00130393,0.00130393,0.00130393
24,187.897,0.44951,0.53149,0.78592,0.82998,0,0.49025,1,0.53554,0.46357,0.49025,1,0.54679,0.48489,0.50198,0.62592,0.88977,0.82802,0,0.00128742,0.00128742,0.00128742
25,195.261,0.40977,0.49404,0.77524,0.82227,0,0.50351,0.92664,0.54994,0.48225,0.50351,0.92664,0.54994,0.49506,0.51932,0.64091,0.91785,0.85171,0,0.00127092,0.00127092,0.00127092
26,202.912,0.41611,0.50596,0.76051,0.81584,0,0.49464,0.98503,0.53468,0.48122,0.49464,0.98503,0.53468,0.50283,0.40874,0.48428,0.93379,0.80248,0,0.00125442,0.00125442,0.00125442
27,210.27,0.4141,0.49565,0.76126,0.81949,0,0.4755,0.97484,0.53918,0.48341,0.4755,0.97484,0.53918,0.50699,0.40808,0.49617,0.92768,0.80613,0,0.00123791,0.00123791,0.00123791
28,218.897,0.42253,0.52953,0.74262,0.82766,0,0.49856,0.93182,0.52235,0.46512,0.49856,0.93182,0.52235,0.47443,0.42582,0.58215,0.92755,0.79747,0,0.00122141,0.00122141,0.00122141
29,226.633,0.42643,0.50217,0.7265,0.83079,0,0.48535,0.98547,0.50893,0.4516,0.48535,0.98547,0.50893,0.47019,0.45966,0.56973,1.00537,0.80928,0,0.00120491,0.00120491,0.00120491
